Nom,Aguerrie,Capacité de Soutien,Code,Code de Type,Coriace,Cout Main,Cout Reserve,Défenseur,Eau,Faction,Feuille,Fleche,Formula,Fugace,Gigantesque,ID,Identifiant,Langue,Main,Possession,Reserve,Roche,Set,Type unité,Éternel
Axiom Salvager,No,No,BTG-005-F-EN,C - Commune,,1,2,No,1,Axiom,1,No,,No,No,5,MCA-15,EN - English,No,1,Yes,1,BTG - Au-delà des portes,Personnage,No
Axiom Salvager,No,No,BTG-005-R-EN,R - Rare,,1,1,No,0,Axiom,1,No,,No,No,5,MCA-16,EN - English,No,0,Yes,1,BTG - Au-delà des portes,Personnage,No
Récupérateur Axiom,No,No,BTG-005-F-FR,F - Transfuge,,1,2,No,1,Bravos,1,No,,No,No,5,MCA-17,FR - Français,No,0,Yes,1,BTG - Au-delà des portes,Personnage,No
Axiom Salvager,No,No,BTG-005-F-EN,F - Transfuge,,1,2,No,1,Bravos,1,No,,No,No,5,MCA-18,EN - English,No,0,Yes,1,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-C-FR,C - Commune,,2,2,No,1,Axiom,1,No,,No,No,6,MCA-19,FR - Français,No,4,Yes,3,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-R-FR,R - Rare,,2,2,No,1,Axiom,1,No,,No,No,6,MCA-20,FR - Français,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-C-EN,C - Commune,,2,2,No,1,Axiom,1,No,,No,No,6,MCA-21,EN - English,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-F-FR,F - Transfuge,,2,2,No,1,Yzmir,1,No,,No,No,6,MCA-22,FR - Français,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-R-EN,R - Rare,,2,2,No,1,Axiom,1,No,,No,No,6,MCA-23,EN - English,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-C-FR,C - Commune,,2,2,No,0,Axiom,2,No,,No,No,7,MCA-24,FR - Français,No,4,No,2,BTG - Au-delà des portes,Personnage,No
Ada Lovelace,No,No,BTG-006-F-EN,F - Transfuge,,2,2,No,1,Yzmir,1,No,,No,No,6,MCA-25,EN - English,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-C-EN,C - Commune,,2,2,No,0,Axiom,2,No,,No,No,7,MCA-26,EN - English,No,0,No,2,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-R-FR,R - Rare,,2,2,No,0,Axiom,3,No,,No,No,7,MCA-27,FR - Français,No,0,No,3,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-R-EN,R - Rare,,2,2,No,0,Axiom,3,No,,No,No,7,MCA-28,EN - English,No,1,No,3,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-F-FR,F - Transfuge,,2,2,No,0,Muna,3,No,,No,No,7,MCA-29,FR - Français,No,0,No,3,BTG - Au-delà des portes,Personnage,No
Coppélia,No,No,BTG-007-F-EN,F - Transfuge,,2,2,No,0,Muna,3,No,,No,No,7,MCA-30,EN - English,No,0,No,3,BTG - Au-delà des portes,Personnage,No
Ingénieure de la Fonderie,No,No,BTG-008-C-FR,C - Commune,,2,2,No,1,Axiom,2,No,,No,No,8,MCA-31,FR - Français,No,2,Yes,2,BTG - Au-delà des portes,Personnage,No
Foundry Engineer,No,No,BTG-008-C-EN,C - Commune,,2,2,No,1,Axiom,2,No,,No,No,8,MCA-32,EN - English,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Ingénieure de la Fonderie,No,No,BTG-008-R-FR,R - Rare,,2,2,No,1,Axiom,2,No,,No,No,8,MCA-33,FR - Français,No,1,Yes,2,BTG - Au-delà des portes,Personnage,No
Foundry Engineer,No,No,BTG-008-R-EN,R - Rare,,2,2,No,1,Axiom,2,No,,No,No,8,MCA-34,EN - English,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Foundry Engineer,No,No,BTG-008-R-EN,F - Transfuge,,2,2,No,1,Ordis,2,No,,No,No,8,MCA-35,EN - English,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Ingénieure de la Fonderie,No,No,BTG-008-R-FR,F - Transfuge,,2,2,No,1,Ordis,2,No,,No,No,8,MCA-36,FR - Français,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
"Jian, Superviseur d’Assemblage",No,No,BTG-009-C-FR,C - Commune,,2,2,No,0,Axiom,3,No,,No,No,9,MCA-37,FR - Français,No,3,No,2,BTG - Au-delà des portes,Personnage,No
"Jian, Assembly Overseer",No,No,BTG-009-C-EN,C - Commune,,2,2,No,0,Axiom,3,No,,No,No,9,MCA-38,EN - English,No,2,No,2,BTG - Au-delà des portes,Personnage,No
"Jian, Superviseur d’Assemblage",No,Yes,BTG-009-R-FR,R - Rare,,2,2,No,0,Axiom,3,No,,No,No,9,MCA-39,FR - Français,No,1,No,2,BTG - Au-delà des portes,Personnage,No
"Jian, Assembly Overseer",No,Yes,BTG-009-R-EN,R - Rare,,2,2,No,0,Axiom,3,No,,No,No,9,MCA-40,EN - English,No,1,No,2,BTG - Au-delà des portes,Personnage,No
"Jian, Superviseur d’Assemblage",No,Yes,BTG-009-F-FR,F - Transfuge,,2,2,No,0,Ordis,3,No,,No,No,9,MCA-41,FR - Français,No,0,No,2,BTG - Au-delà des portes,Personnage,No
"Jian, Assembly Overseer",No,Yes,BTG-009-F-EN,F - Transfuge,,2,2,No,0,Ordis,3,No,,No,No,9,MCA-42,EN - English,No,0,No,2,BTG - Au-delà des portes,Personnage,No
Élémentaire de Kélon,No,No,BTG-010-F-FR,C - Commune,,2,2,No,3,Axiom,1,No,,No,No,10,MCA-43,FR - Français,Yes,6,No,3,BTG - Au-delà des portes,Personnage,No
Kelon Elemental,No,No,BTG-010-F-EN,C - Commune,,2,2,No,3,Axiom,1,No,,No,No,10,MCA-44,EN - English,Yes,0,No,3,BTG - Au-delà des portes,Personnage,No
Élémentaire de Kélon,No,No,BTG-010-R-FR,R - Rare,,2,2,No,3,Axiom,1,No,,No,No,10,MCA-45,FR - Français,Yes,1,No,3,BTG - Au-delà des portes,Personnage,No
Kelon Elemental,No,No,BTG-010-R-EN,R - Rare,,2,2,No,3,Axiom,1,No,,No,No,10,MCA-46,EN - English,Yes,0,No,3,BTG - Au-delà des portes,Personnage,No
Élémentaire de Kélon,No,No,BTG-010-R-FR,F - Transfuge,,2,2,No,3,Muna,1,No,,No,No,10,MCA-47,FR - Français,Yes,0,No,3,BTG - Au-delà des portes,Personnage,No
Kelon Elemental,No,No,BTG-010-R-EN,F - Transfuge,,2,2,No,3,Muna,1,No,,No,No,10,MCA-48,EN - English,Yes,0,No,3,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-C-FR,C - Commune,,2,2,No,1,Axiom,2,Yes,,No,No,11,MCA-49,FR - Français,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-C-EN,C - Commune,,2,2,No,1,Axiom,2,Yes,,No,No,11,MCA-50,EN - English,No,1,No,1,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-R-FR,R - Rare,,2,2,No,1,Axiom,2,Yes,,No,No,11,MCA-51,FR - Français,No,1,No,1,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-R-EN,R - Rare,,2,2,No,1,Axiom,2,Yes,,No,No,11,MCA-52,EN - English,No,1,No,1,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-F-FR,F - Transfuge,,2,2,No,1,Muna,2,Yes,,No,No,11,MCA-53,FR - Français,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Ogun,No,No,BTG-011-F-EN,F - Transfuge,,2,2,No,1,Muna,2,Yes,,No,No,11,MCA-54,EN - English,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-C-FR,C - Commune,,3,1,No,2,Axiom,2,No,,No,No,12,MCA-55,FR - Français,No,3,No,2,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-C-EN,C - Commune,,3,1,No,2,Axiom,2,No,,No,No,12,MCA-56,EN - English,No,0,No,2,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-R-FR,R - Rare,,3,1,No,2,Axiom,2,No,,No,No,12,MCA-57,FR - Français,Yes,1,No,2,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-R-EN,R - Rare,,3,1,No,2,Axiom,2,No,,No,No,12,MCA-58,EN - English,Yes,0,No,2,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-F-FR,F - Transfuge,,3,1,No,2,Ordis,2,No,,No,No,12,MCA-59,FR - Français,Yes,0,No,2,BTG - Au-delà des portes,Personnage,No
Amelia Earhart,No,No,BTG-012-F-EN,F - Transfuge,,3,1,No,2,Ordis,2,No,,No,No,12,MCA-60,EN - English,Yes,1,No,2,BTG - Au-delà des portes,Personnage,No
Armurière de la Fonderie,No,No,BTG-013-C-FR,C - Commune,,3,3,No,2,Axiom,2,No,,No,No,12,MCA-61,FR - Français,No,3,Yes,2,BTG - Au-delà des portes,Personnage,No
Foundry Armorer,No,No,BTG-013-C-EN,C - Commune,,3,3,No,2,Axiom,2,No,,No,No,12,MCA-62,EN - English,No,1,Yes,2,BTG - Au-delà des portes,Personnage,No
Armurière de la Fonderie,No,No,BTG-013-R-FR,C - Commune,,3,3,No,2,Axiom,2,Yes,,No,No,13,MCA-63,FR - Français,No,0,No,2,BTG - Au-delà des portes,Personnage,No
Foundry Armorer,No,No,BTG-013-R-EN,C - Commune,,3,3,No,2,Axiom,2,Yes,,No,No,13,MCA-64,EN - English,No,0,No,2,BTG - Au-delà des portes,Personnage,No
Armurière de la Fonderie,No,No,BTG-013-F-FR,F - Transfuge,,2,3,No,2,Bravos,2,No,,No,No,13,MCA-65,FR - Français,No,1,Yes,2,BTG - Au-delà des portes,Personnage,No
Foundry Armorer,No,No,BTG-013-F-EN,F - Transfuge,,2,3,No,2,Bravos,2,No,,No,No,13,MCA-66,EN - English,No,0,Yes,2,BTG - Au-delà des portes,Personnage,No
Trois Petits Cochons,No,No,BTG-014-C-FR,C - Commune,,3,3,No,3,Axiom,3,Yes,,No,No,14,MCA-67,FR - Français,No,3,No,3,BTG - Au-delà des portes,Personnage,No
Three Little Pigs,No,No,BTG-014-C-EN,C - Commune,,3,3,No,3,Axiom,3,Yes,,No,No,14,MCA-68,EN - English,No,1,No,3,BTG - Au-delà des portes,Personnage,No
Trois Petits Cochons,No,No,BTG-014-R-FR,R - Rare,,3,3,No,3,Axiom,3,Yes,,No,No,14,MCA-69,FR - Français,No,1,No,3,BTG - Au-delà des portes,Personnage,No
Three Little Pigs,No,No,BTG-014-R-EN,R - Rare,,3,3,No,3,Axiom,3,Yes,,No,No,14,MCA-70,EN - English,No,1,No,3,BTG - Au-delà des portes,Personnage,No
Trois Petits Cochons,No,No,BTG-014-F-FR,F - Transfuge,,3,3,No,3,Bravos,3,Yes,,No,No,14,MCA-71,FR - Français,No,0,No,3,BTG - Au-delà des portes,Personnage,No
Three Little Pigs,No,No,BTG-014-F-EN,F - Transfuge,,3,3,No,3,Bravos,3,Yes,,No,No,14,MCA-72,EN - English,No,0,No,3,BTG - Au-delà des portes,Personnage,No
Fée Clochette,No,No,BTG-015-C-FR,C - Commune,,3,3,No,3,Axiom,1,No,,No,No,15,MCA-73,FR - Français,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Tinker Bell,No,No,BTG-015-C-EN,C - Commune,,3,3,No,3,Axiom,1,No,,No,No,15,MCA-74,EN - English,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Fée Clochette,No,No,BTG-015-R-FR,R - Rare,,2,3,No,3,Axiom,1,No,,No,No,15,MCA-75,FR - Français,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Tinker Bell,No,No,BTG-015-R-EN,R - Rare,,2,3,No,3,Axiom,1,No,,No,No,15,MCA-76,EN - English,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Fée Clochette,No,No,BTG-015-F-FR,F - Transfuge,,2,3,No,3,Lyra,1,No,,No,No,15,MCA-77,FR - Français,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Tinker Bell,No,No,BTG-015-F-EN,F - Transfuge,,2,3,No,3,Lyra,1,No,,No,No,15,MCA-78,EN - English,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Brouilleur Axiom,No,No,BTG-016-C-FR,C - Commune,,4,3,No,2,Axiom,2,No,,No,No,16,MCA-79,FR - Français,Yes,3,No,4,BTG - Au-delà des portes,Personnage,No
Axiom Scrambler,No,No,BTG-016-C-EN,C - Commune,,4,3,No,2,Axiom,2,No,,No,No,16,MCA-80,EN - English,Yes,1,No,4,BTG - Au-delà des portes,Personnage,No
Brouilleur Axiom,No,No,BTG-016-R-FR,R - Rare,,3,3,No,2,Axiom,2,No,,No,No,16,MCA-81,FR - Français,Yes,1,No,4,BTG - Au-delà des portes,Personnage,No
Axiom Scrambler,No,No,BTG-016-R-EN,R - Rare,,3,3,No,2,Axiom,2,No,,No,No,16,MCA-82,EN - English,Yes,0,No,4,BTG - Au-delà des portes,Personnage,No
Brouilleur Axiom,No,No,BTG-016-F-FR,F - Transfuge,,4,3,No,2,Muna,2,No,,No,No,16,MCA-83,FR - Français,Yes,0,No,4,BTG - Au-delà des portes,Personnage,No
Axiom Scrambler,No,No,BTG-016-F-EN,F - Transfuge,,4,3,No,2,Muna,2,No,,No,No,16,MCA-84,EN - English,Yes,0,No,4,BTG - Au-delà des portes,Personnage,No
Dr Frankenstein,No,No,BTG-017-C-FR,C - Commune,,4,3,No,3,Axiom,3,No,,No,No,17,MCA-85,FR - Français,No,2,Yes,3,BTG - Au-delà des portes,Personnage,No
Dr. Frankenstein,No,No,BTG-017-C-EN,C - Commune,,4,3,No,3,Axiom,3,No,,No,No,17,MCA-86,EN - English,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Dr Frankenstein,No,No,BTG-017-R-FR,R - Rare,,4,2,No,3,Axiom,3,No,,No,No,17,MCA-87,FR - Français,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Dr. Frankenstein,No,No,BTG-017-R-EN,R - Rare,,4,2,No,3,Axiom,3,No,,No,No,17,MCA-88,EN - English,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Dr Frankenstein,No,No,BTG-017-F-FR,F - Transfuge,,4,2,No,3,Lyra,3,No,,No,No,17,MCA-89,FR - Français,No,1,Yes,3,BTG - Au-delà des portes,Personnage,No
Dr. Frankenstein,No,No,BTG-017-F-EN,F - Transfuge,,4,2,No,3,Lyra,3,No,,No,No,17,MCA-90,EN - English,No,0,Yes,3,BTG - Au-delà des portes,Personnage,No
Athéna,No,No,BTG-018-C-FR,C - Commune,,5,3,No,4,Axiom,3,No,,No,No,18,MCA-91,FR - Français,No,3,Yes,4,BTG - Au-delà des portes,Personnage,No
Athena,No,No,BTG-018-C-EN,C - Commune,,5,3,No,4,Axiom,3,No,,No,No,18,MCA-92,EN - English,No,0,Yes,4,BTG - Au-delà des portes,Personnage,No
Athéna,No,No,BTG-018-R-FR,R - Rare,,5,3,No,4,Axiom,3,No,,No,No,18,MCA-93,FR - Français,Yes,0,Yes,4,BTG - Au-delà des portes,Personnage,No
Athena,No,No,BTG-018-R-EN,R - Rare,,5,3,No,4,Axiom,3,No,,No,No,18,MCA-94,EN - English,Yes,1,Yes,4,BTG - Au-delà des portes,Personnage,No
Athéna,No,No,BTG-018-F-FR,F - Transfuge,,5,3,No,4,Ordis,3,No,,No,No,18,MCA-95,FR - Français,Yes,1,Yes,4,BTG - Au-delà des portes,Personnage,No
Athena,No,No,BTG-018-F-EN,F - Transfuge,,5,3,No,4,Ordis,3,No,,No,No,18,MCA-96,EN - English,Yes,0,Yes,4,BTG - Au-delà des portes,Personnage,No
Ganesh,No,No,BTG-019-C-FR,C - Commune,,7,7,No,5,Axiom,5,Yes,,No,No,19,MCA-97,FR - Français,No,2,No,5,BTG - Au-delà des portes,Personnage,No
Ganesha,No,No,BTG-019-C-EN,C - Commune,,7,7,No,5,Axiom,5,Yes,,No,No,19,MCA-98,EN - English,No,1,No,5,BTG - Au-delà des portes,Personnage,No
Ganesh,No,No,BTG-019-R-FR,R - Rare,,6,6,No,4,Axiom,4,Yes,,No,No,19,MCA-99,FR - Français,No,0,No,4,BTG - Au-delà des portes,Personnage,No
Ganesha,No,No,BTG-019-R-EN,R - Rare,,6,6,No,4,Axiom,4,Yes,,No,No,19,MCA-100,EN - English,No,0,No,4,BTG - Au-delà des portes,Personnage,No
Ganesh,No,No,BTG-019-F-FR,F - Transfuge,,7,7,No,5,Muna,5,Yes,,No,No,19,MCA-101,FR - Français,No,0,No,5,BTG - Au-delà des portes,Personnage,No
Ganesha,No,No,BTG-019-F-EN,F - Transfuge,,7,7,No,5,Muna,5,Yes,,No,No,19,MCA-102,EN - English,No,1,No,5,BTG - Au-delà des portes,Personnage,No
Happé,No,No,BTG-020-C-FR,C - Commune,,1,2,No,,Axiom,,No,,No,No,20,MCA-103,FR - Français,No,2,No,,BTG - Au-delà des portes,Sort,No
Hooked,No,No,BTG-020-C-EN,C - Commune,,1,2,No,,Axiom,,No,,No,No,20,MCA-104,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Happé,No,No,BTG-020-R-FR,R - Rare,,2,2,No,,Axiom,,No,,No,No,20,MCA-105,FR - Français,No,0,No,,BTG - Au-delà des portes,Sort,No
Hooked,No,No,BTG-020-R-EN,R - Rare,,2,2,No,,Axiom,,No,,No,No,20,MCA-106,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Happé,No,No,BTG-020-F-FR,F - Transfuge,,1,2,No,,Lyra,,No,,No,No,20,MCA-107,FR - Français,No,0,No,,BTG - Au-delà des portes,Sort,No
Hooked,No,No,BTG-020-F-EN,F - Transfuge,,1,2,No,,Lyra,,No,,No,No,20,MCA-108,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Entraînement Mécanique,No,No,BTG-021-C-FR,C - Commune,,1,2,No,,Axiom,,No,,No,No,21,MCA-109,FR - Français,No,2,No,,BTG - Au-delà des portes,Sort,No
Mechanical Training,No,No,BTG-021-C-EN,C - Commune,,1,2,No,,Axiom,,No,,No,No,21,MCA-110,EN - English,No,1,No,,BTG - Au-delà des portes,Sort,No
Entraînement Mécanique,No,No,BTG-021-R-FR,R - Rare,,2,2,No,,Axiom,,No,,No,No,21,MCA-111,FR - Français,No,1,No,,BTG - Au-delà des portes,Sort,No
Mechanical Training,No,No,BTG-021-R-EN,R - Rare,,2,2,No,,Axiom,,No,,No,No,21,MCA-112,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Entraînement Mécanique,No,No,BTG-021-F-FR,F - Transfuge,,2,2,No,,Muna,,No,,No,No,21,MCA-113,FR - Français,No,0,No,,BTG - Au-delà des portes,Sort,No
Mechanical Training,No,No,BTG-021-F-EN,F - Transfuge,,2,2,No,,Muna,,No,,No,No,21,MCA-114,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Boum!,No,No,BTG-022-C-FR,C - Commune,,3,3,No,,Axiom,,No,,Yes,No,22,MCA-115,FR - Français,No,2,No,,BTG - Au-delà des portes,Sort,No
Boom!,No,No,BTG-022-C-EN,C - Commune,,3,3,No,,Axiom,,No,,Yes,No,22,MCA-116,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Boum!,No,No,BTG-022-R-FR,R - Rare,,3,3,No,,Axiom,,No,,Yes,No,22,MCA-117,FR - Français,No,1,No,,BTG - Au-delà des portes,Sort,No
Boom!,No,No,BTG-022-R-EN,R - Rare,,3,3,No,,Axiom,,No,,Yes,No,22,MCA-118,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Boum!,No,No,BTG-022-F-FR,F - Transfuge,,3,3,No,,Yzmir,,No,,Yes,No,22,MCA-119,FR - Français,No,0,No,,BTG - Au-delà des portes,Sort,No
Boom!,No,No,BTG-022-F-EN,F - Transfuge,,3,3,No,,Yzmir,,No,,Yes,No,22,MCA-120,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Décharge de Kélon,No,No,BTG-023-C-FR,C - Commune,,3,3,No,,Axiom,,No,,Yes,No,23,MCA-121,FR - Français,No,5,No,,BTG - Au-delà des portes,Sort,No
Kelon Burst,No,No,BTG-023-C-EN,C - Commune,,3,3,No,,Axiom,,No,,Yes,No,23,MCA-122,EN - English,No,1,No,,BTG - Au-delà des portes,Sort,No
Décharge de Kélon,No,No,BTG-023-R-FR,R - Rare,,4,4,No,,Axiom,,No,,Yes,No,23,MCA-123,FR - Français,No,0,No,,BTG - Au-delà des portes,Sort,No
Kelon Burst,No,No,BTG-023-R-EN,R - Rare,,4,4,No,,Axiom,,No,,Yes,No,23,MCA-124,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Décharge de Kélon,No,No,BTG-023-F-FR,F - Transfuge,,3,3,No,,Ordis,,No,,Yes,No,23,MCA-125,FR - Français,No,1,No,,BTG - Au-delà des portes,Sort,No
Kelon Burst,No,No,BTG-023-F-EN,F - Transfuge,,3,3,No,,Ordis,,No,,Yes,No,23,MCA-126,EN - English,No,0,No,,BTG - Au-delà des portes,Sort,No
Cylindre de Kélon,No,No,BTG-024-F-FR,C - Commune,,1,1,No,,Axiom,,No,,No,No,24,MCA-127,FR - Français,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Kelon Cylinder,No,No,BTG-024-F-EN,C - Commune,,1,1,No,,Axiom,,No,,No,No,24,MCA-128,EN - English,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Cylindre de Kélon,No,No,BTG-024-R-FR,R - Rare,,1,1,No,,Axiom,,Yes,,No,No,24,MCA-129,FR - Français,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Kelon Cylinder,No,No,BTG-024-R-EN,R - Rare,,1,1,No,,Axiom,,Yes,,No,No,24,MCA-130,EN - English,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Cylindre de Kélon,No,No,BTG-024-F-FR,F - Transfuge,,1,1,No,,Bravos,,No,,No,No,24,MCA-131,FR - Français,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Kelon Cylinder,No,No,BTG-024-F-EN,F - Transfuge,,1,1,No,,Bravos,,No,,No,No,24,MCA-132,EN - English,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Brouilleur Blindé,No,No,BTG-025-C-FR,C - Commune,,2,2,No,,Axiom,,Yes,,No,No,25,MCA-133,FR - Français,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Armored Jammer,No,No,BTG-025-C-EN,C - Commune,,2,2,No,,Axiom,,Yes,,No,No,25,MCA-134,EN - English,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Brouilleur Blindé,No,No,BTG-025-R-FR,R - Rare,,2,2,No,,Axiom,,Yes,,No,No,25,MCA-135,FR - Français,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Armored Jammer,No,No,BTG-025-R-EN,R - Rare,,2,2,No,,Axiom,,Yes,,No,No,25,MCA-136,EN - English,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Brouilleur Blindé,No,No,BTG-025-F-FR,F - Transfuge,,2,2,No,,Ordis,,Yes,,No,No,25,MCA-137,FR - Français,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Armored Jammer,No,No,BTG-025-F-EN,F - Transfuge,,2,2,No,,Ordis,,Yes,,No,No,25,MCA-138,EN - English,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Hub des Scarabots,No,No,BTG-026-C-FR,C - Commune,,3,3,No,,Axiom,,Yes,,No,No,26,MCA-139,FR - Français,No,4,No,,BTG - Au-delà des portes,Repère Permanent,No
Brassbug Hub,No,No,BTG-026-C-EN,C - Commune,,3,3,No,,Axiom,,Yes,,No,No,26,MCA-140,EN - English,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
Hub des Scarabots,No,No,BTG-026-R-FR,R - Rare,,2,2,No,,Axiom,,Yes,,No,No,26,MCA-141,FR - Français,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Brassbug Hub,No,No,BTG-026-R-EN,R - Rare,,2,2,No,,Axiom,,Yes,,No,No,26,MCA-142,EN - English,No,0,No,,BTG - Au-delà des portes,Repère Permanent,No
Hub des Scarabots,No,No,BTG-026-F-FR,F - Transfuge,,2,2,No,,Ordis,,Yes,,No,No,26,MCA-143,FR - Français,No,1,No,,BTG - Au-delà des portes,Repère Permanent,No
